year,county,inspector,status,noncompliant
2021,Bond County,Kathy Melvin,NONCOMPLIANT,1
2021,Boone County,Michael Leathers,COMPLIANT,0
2021,Bureau County,Michael Leathers,NONCOMPLIANT,1
2021,Carroll County,Michael Leathers,NONCOMPLIANT,1
2021,Champaign County,Jennifer Delaney,NONCOMPLIANT,1
2021,Christian County,Jennifer Delaney,NONCOMPLIANT,1
2021,Clark County,Kathy Melvin,NONCOMPLIANT,1
2021,Clay County,Kathy Melvin,NONCOMPLIANT,1
2021,Clinton County,Kathy Melvin,NONCOMPLIANT,1
2021,Coles County,Jennifer Delaney,NONCOMPLIANT,1
2021,Cook County,Bob Bowen,COMPLIANT,0
2021,Crawford County,Kathy Melvin,COMPLIANT,0
2021,Cumberland County,Kathy Melvin,NONCOMPLIANT,1
2021,Dekalb County,Michael Leathers,COMPLIANT,0
2021,Dewitt County,Jennifer Delaney,NONCOMPLIANT,1
2021,Douglas County,Bob Bowen,NONCOMPLIANT,1
2021,Dupage County,Errica Weatherspoon,NONCOMPLIANT,1
2021,Edgar County,Jennifer Delaney,COMPLIANT,0
2021,Effingham County,Kathy Melvin,NONCOMPLIANT,1
2021,Fayette County,Kathy Melvin,NONCOMPLIANT,1
2021,Ford County,Jennifer Delaney,COMPLIANT,0
2021,Franklin County,Kathy Melvin,NONCOMPLIANT,1
2021,Fulton County,Jennifer Delaney,COMPLIANT,0
2021,Greene County,Michael Leathers,NONCOMPLIANT,1
2021,Grundy County,Michael Leathers,NONCOMPLIANT,1
2021,Hancock County,Jennifer Delaney,NONCOMPLIANT,1
2021,Hardin County,Kathy Melvin,NONCOMPLIANT,1
2021,Henderson County,Michael Leathers,NONCOMPLIANT,1
2021,Henry County,Michael Leathers,COMPLIANT,0
2021,Iroquois County,Jennifer Delaney,COMPLIANT,0
2021,Jackson County,Kathy Melvin,NONCOMPLIANT,1
2021,Jasper County,Kathy Melvin,NONCOMPLIANT,1
2021,Jefferson County,Kathy Melvin,NONCOMPLIANT,1
2021,Jerome Combs,Errica Weatherspoon,COMPLIANT,0
2021,Jersey County,Jennifer Delaney,COMPLIANT,0
2021,Jo Daviess County,Michael Leathers,NONCOMPLIANT,1
2021,Kane County,Michael Leathers,COMPLIANT,0
2021,Kankakee County,Errica Weatherspoon,COMPLIANT,0
2021,Kendall County,Michael Leathers,COMPLIANT,0
2021,Knox County,Michael Leathers,NONCOMPLIANT,1
2021,Lake County,Errica Weatherspoon,COMPLIANT,0
2021,Lasalle County,Michael Leathers,COMPLIANT,0
2021,Lawrence County,Kathy Melvin,NONCOMPLIANT,1
2021,Lee County,Michael Leathers,NONCOMPLIANT,1
2021,Livingston County,Jennifer Delaney,COMPLIANT,0
2021,Logan County,Jennifer Delaney,NONCOMPLIANT,1
2021,Macon County,Bob Bowen,COMPLIANT,0
2021,Macoupin County,Jennifer Delaney,COMPLIANT,0
2021,Madison County,Kathy Melvin,COMPLIANT,0
2021,Marion County,Kathy Melvin,NONCOMPLIANT,1
2021,Marshall County,Michael Leathers,COMPLIANT,0
2021,Mason County,Jennifer Delaney,NONCOMPLIANT,1
2021,Massac County,Kathy Melvin,NONCOMPLIANT,1
2021,Mcdonough County,Jennifer Delaney,NONCOMPLIANT,1
2021,Mchenry County,Michael Leathers,COMPLIANT,0
2021,Mclean County,Jennifer Delaney,COMPLIANT,0
2021,Menard County,Jennifer Delaney,COMPLIANT,0
2021,Mercer County,Michael Leathers,COMPLIANT,0
2021,Monroe County,Kathy Melvin,NONCOMPLIANT,1
2021,Montgomery County,Jennifer Delaney,NONCOMPLIANT,1
2021,Morgan County,Jennifer Delaney,NONCOMPLIANT,1
2021,Moultrie County,Bob Bowen,NONCOMPLIANT,1
2021,Ogle County,Michael Leathers,NONCOMPLIANT,1
2021,Peoria County,Jennifer Delaney,COMPLIANT,0
2021,Perry County,Kathy Melvin,NONCOMPLIANT,1
2021,Piatt County,Bob Bowen,NONCOMPLIANT,1
2021,Pike County,Jennifer Delaney,NONCOMPLIANT,1
2021,Pulaski County,Kathy Melvin,NONCOMPLIANT,1
2021,Putnam County,Michael Leathers,COMPLIANT,0
2021,Randolph County,Kathy Melvin,NONCOMPLIANT,1
2021,Richland County,Kathy Melvin,NONCOMPLIANT,1
2021,Rock Island County,Michael Leathers,COMPLIANT,0
2021,Saline County,Kathy Melvin,NONCOMPLIANT,1
2021,Sangamon County,Jennifer Delaney,NONCOMPLIANT,1
2021,Schuyler County,Jennifer Delaney,NONCOMPLIANT,1
2021,Shelby County,Jennifer Delaney,NONCOMPLIANT,1
2021,St Clair County,Kathy Melvin,NONCOMPLIANT,1
2021,Stark County,Michael Leathers,NONCOMPLIANT,1
2021,Stephenson County,Michael Leathers,COMPLIANT,0
2021,Tazewell County,Jennifer Delaney,COMPLIANT,0
2021,Vermilion County,Jennifer Delaney,NONCOMPLIANT,1
2021,Wabash County,Kathy Melvin,NONCOMPLIANT,1
2021,Warren County,Michael Leathers,COMPLIANT,0
2021,Washington County,Kathy Melvin,NONCOMPLIANT,1
2021,Wayne County,Kathy Melvin,NONCOMPLIANT,1
2021,White County,Kathy Melvin,NONCOMPLIANT,1
2021,Whiteside County,Michael Leathers,COMPLIANT,0
2021,Will County,Errica Weatherspoon,COMPLIANT,0
2021,Williamson County,Kathy Melvin,NONCOMPLIANT,1
2021,Winnebago County,Michael Leathers,COMPLIANT,0
2021,Woodford County,Jennifer Delaney,COMPLIANT,0
2022,Adams County,Doug Brubaker,NONCOMPLIANT,1
2022,Bond County,Kathy Melvin,NONCOMPLIANT,1
2022,Boone County,Sara Johnson,NONCOMPLIANT,1
2022,Bureau County,Jennifer Delaney,COMPLIANT,0
2022,Carroll County,Jennifer Delaney,NONCOMPLIANT,1
2022,Champaign County,Doug Brubaker,NONCOMPLIANT,1
2022,Christian County,Doug Brubaker,COMPLIANT,0
2022,Clark County,Kathy Melvin,NONCOMPLIANT,1
2022,Clay County,Kathy Melvin,NONCOMPLIANT,1
